wavelength,p10,p90
2449,0.380693753658898,0.795964
2451,0.380473,0.796506
2453,0.38023,0.796894
2454,0.380102403481457,0.797307
2456,0.380006,0.797789
2458,0.379941,0.798354
2460,0.379961,0.798913
2462,0.379972124844347,0.799689
2464,0.379995368054231,0.80024
2466,0.380061,0.800797
2468,0.380123,0.801287
2470,0.380316,0.801816
2472,0.38061,0.8022
2474,0.380886966722841,0.802634
2476,0.381199,0.802957
2478,0.381533,0.803234
2480,0.381781250117733,0.803599
2481,0.3819779508379,0.803832
2483,0.382228,0.804233
2485,0.382564,0.804635
2487,0.382876375156925,0.805111
2489,0.383162,0.805844
2491,0.383444712620628,0.806602
2493,0.383696,0.807566
2495,0.383933,0.808506
2497,0.384169,0.809655
2499,0.384386289156923,0.810724
2501,0.384544291905432,0.811909
2503,0.384676,0.81312
2505,0.384815,0.814272
2507,0.384906,0.815252
2508,0.384904,0.816157
2510,0.384892,0.81696
2512,0.384868523398738,0.81758
2514,0.384778127,0.818133
2516,0.384745615831401,0.818549
2518,0.384659262580951,0.818921
2520,0.384532065379951,0.819052
2522,0.384273589304784,0.819038
